id,customer_id,date_of_birth,place_of_birth,country_of_birth_id,gender_id,marital_status_id,citizenship_country_id,dual_citizenship_flag,ssn_last4,tin,itin,is_politically_exposed,pep_details,annual_income_range,net_worth_range,source_of_wealth_summary,primary_language_id,secondary_language_id,high_risk_flag,risk_reason,is_deceased,date_of_death,created_at,updated_at
CPD-0000044,CUST-000044,1988-04-02,Raleigh,3,2,1,3,False,3231,TIN-624002773,ITIN-222424700,False,No PEP match found.,120k-200k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2024-12-09,2025-02-14
CPD-0000045,CUST-000045,1971-04-16,Jacksonville,1,1,2,1,False,1951,TIN-429208648,ITIN-345640353,False,No PEP match found.,25k-50k,500k-1m,Salary,1,,False,Standard retail risk.,False,,2026-07-22,2026-05-01
CPD-0000046,CUST-000046,1963-03-19,Charlotte,2,1,1,2,True,4737,TIN-414632695,ITIN-345645830,False,No PEP match found.,75k-120k,<50k,Savings and investments,1,,True,KYC quality exception,False,,2025-08-25,2025-12-16
CPD-0000047,CUST-000047,1991-08-29,Atlanta,1,1,1,1,False,1108,TIN-196629264,ITIN-994184893,False,No PEP match found.,50k-75k,500k-1m,Savings and investments,2,1.0,False,Standard retail risk.,False,,2025-12-09,2026-05-01
CPD-0000048,CUST-000048,1996-05-28,Columbia,1,2,1,1,False,4490,TIN-375832339,ITIN-131424212,False,No PEP match found.,50k-75k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-09-16,2025-10-16
CPD-0000049,CUST-000049,1985-08-02,Raleigh,1,2,1,1,False,9969,TIN-121846391,ITIN-356958092,False,No PEP match found.,25k-50k,<50k,Business income,1,,False,Standard retail risk.,False,,2026-02-04,2026-02-13
CPD-0000050,CUST-000050,1998-09-28,Atlanta,1,1,2,1,False,5249,TIN-530248859,ITIN-979755384,False,No PEP match found.,50k-75k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2026-08-27,2026-05-01
CPD-0000051,CUST-000051,1964-04-22,Atlanta,2,1,1,2,False,6118,TIN-495794167,ITIN-610236267,False,No PEP match found.,25k-50k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-04-26,2024-09-11
CPD-0000052,CUST-000052,1964-06-21,Raleigh,3,1,2,3,False,8042,TIN-153566764,ITIN-644659164,False,No PEP match found.,50k-75k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-07-09,2025-12-09
CPD-0000053,CUST-000053,1962-07-30,Atlanta,1,2,2,1,False,6383,TIN-115939447,ITIN-303074186,False,No PEP match found.,50k-75k,50k-150k,Business income,2,1.0,False,Standard retail risk.,False,,2026-09-17,2026-05-01
CPD-0000054,CUST-000054,1960-07-13,Atlanta,1,1,1,1,False,4825,TIN-290965415,ITIN-590402487,False,No PEP match found.,25k-50k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2026-01-25,2026-04-02
CPD-0000055,CUST-000055,2007-08-21,Charlotte,1,2,2,1,False,5696,TIN-593574419,ITIN-738471622,False,No PEP match found.,120k-200k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-02-13,2024-06-06
CPD-0000056,CUST-000056,1942-07-06,Jacksonville,1,1,2,1,False,2197,TIN-626778913,ITIN-970252423,False,No PEP match found.,25k-50k,<50k,Inheritance,1,2.0,False,Standard retail risk.,True,2020-04-22,2026-09-19,2026-05-01
CPD-0000057,CUST-000057,1962-09-27,Columbia,1,1,3,1,False,1875,TIN-711262709,ITIN-858384315,False,No PEP match found.,25k-50k,150k-500k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2025-02-21,2025-03-24
CPD-0000058,CUST-000058,1970-08-21,Jacksonville,3,2,1,3,False,5790,TIN-285280967,ITIN-712869939,False,No PEP match found.,25k-50k,50k-150k,Inheritance,2,1.0,False,Standard retail risk.,False,,2025-07-14,2025-10-25
CPD-0000059,CUST-000059,2004-05-14,Jacksonville,1,2,2,1,False,7040,TIN-365711401,ITIN-461952188,False,No PEP match found.,25k-50k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2026-04-07,2026-05-01
CPD-0000060,CUST-000060,1969-02-08,Jacksonville,3,2,1,3,False,0107,TIN-839932631,ITIN-240407512,False,No PEP match found.,120k-200k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2024-02-18,2024-08-11
CPD-0000061,CUST-000061,1969-11-04,Jacksonville,3,2,1,3,False,7313,TIN-387498121,ITIN-212793408,False,No PEP match found.,50k-75k,50k-150k,Inheritance,1,2.0,False,Standard retail risk.,False,,2025-12-21,2026-03-11
CPD-0000062,CUST-000062,2004-12-19,Columbia,1,2,1,1,False,1152,TIN-458582039,ITIN-314077632,False,No PEP match found.,75k-120k,<50k,Salary,1,,False,Standard retail risk.,False,,2026-01-12,2026-02-06
CPD-0000063,CUST-000063,1983-12-05,Columbia,3,2,1,3,False,3634,TIN-933380405,ITIN-637153600,False,No PEP match found.,50k-75k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2024-08-25,2025-02-06
CPD-0000064,CUST-000064,1964-03-04,Miami,2,3,1,2,False,2687,TIN-280502753,ITIN-532817300,False,No PEP match found.,120k-200k,<50k,Salary,1,,False,Standard retail risk.,False,,2024-01-08,2024-03-13
CPD-0000065,CUST-000065,1975-04-17,Miami,2,2,2,2,False,1216,TIN-509829620,ITIN-295041080,False,No PEP match found.,120k-200k,50k-150k,Inheritance,1,3.0,False,Standard retail risk.,False,,2025-11-11,2026-05-01
CPD-0000066,CUST-000066,1972-07-24,Columbia,3,2,2,3,False,3896,TIN-348185867,ITIN-614998990,False,No PEP match found.,200k+,50k-150k,Inheritance,2,1.0,False,Standard retail risk.,False,,2026-06-18,2026-05-01
CPD-0000067,CUST-000067,1998-04-02,Atlanta,4,2,2,4,False,7806,TIN-427417283,ITIN-889561162,False,No PEP match found.,50k-75k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2026-05-09,2026-05-01
CPD-0000068,CUST-000068,1968-01-30,Columbia,1,2,2,1,False,6572,TIN-722018812,ITIN-305030035,False,No PEP match found.,25k-50k,150k-500k,Business income,5,1.0,False,Standard retail risk.,False,,2024-10-31,2025-02-22
CPD-0000069,CUST-000069,1957-04-26,Raleigh,1,1,1,1,False,1590,TIN-613820563,ITIN-319327078,False,No PEP match found.,50k-75k,50k-150k,Salary,2,1.0,False,Standard retail risk.,False,,2025-02-05,2025-05-28
CPD-0000070,CUST-000070,1942-01-02,Jacksonville,4,1,1,4,False,4119,TIN-561560954,ITIN-287451994,False,No PEP match found.,50k-75k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2024-07-08,2024-09-09
CPD-0000071,CUST-000071,2002-08-02,Atlanta,3,1,2,3,True,1030,TIN-408388130,ITIN-869450614,False,No PEP match found.,50k-75k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2025-12-25,2026-02-19
CPD-0000072,CUST-000072,1965-03-07,Miami,1,2,1,1,True,1666,TIN-688355428,ITIN-495628637,False,No PEP match found.,50k-75k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2024-10-27,2025-01-24
CPD-0000073,CUST-000073,1984-12-17,Raleigh,1,2,1,1,False,4867,TIN-493700139,ITIN-927525976,False,No PEP match found.,50k-75k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2025-08-03,2025-12-05
CPD-0000074,CUST-000074,2000-04-01,Charlotte,1,2,1,1,False,0464,TIN-378033564,ITIN-653488985,True,Potential local-government exposure; enhanced due diligence required.,75k-120k,150k-500k,Salary,1,,True,PEP-related monitoring,False,,2025-08-24,2025-11-29
CPD-0000075,CUST-000075,1978-12-31,Columbia,1,1,1,1,False,9667,TIN-675972661,ITIN-982220161,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-05-14,2025-10-22
CPD-0000076,CUST-000076,1969-08-15,Raleigh,4,2,2,4,False,1611,TIN-490585613,ITIN-230422740,False,No PEP match found.,25k-50k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2024-03-09,2024-08-17
CPD-0000077,CUST-000077,1975-09-25,Miami,1,1,2,1,False,2233,TIN-234560565,ITIN-195252426,False,No PEP match found.,50k-75k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2025-04-04,2025-05-27
CPD-0000078,CUST-000078,1969-02-15,Miami,1,1,2,1,False,8174,TIN-115769345,ITIN-782977815,False,No PEP match found.,50k-75k,<50k,Inheritance,3,1.0,False,Standard retail risk.,False,,2025-03-02,2025-07-09
CPD-0000079,CUST-000079,1965-10-13,Columbia,1,2,2,1,False,6144,TIN-296900420,ITIN-505485824,False,No PEP match found.,75k-120k,150k-500k,Inheritance,1,,True,PEP-related monitoring,False,,2025-06-28,2025-09-18
CPD-0000080,CUST-000080,1987-05-09,Columbia,1,2,1,1,False,9488,TIN-148397238,ITIN-555533339,False,No PEP match found.,25k-50k,150k-500k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2024-08-28,2024-10-20
CPD-0000081,CUST-000081,1961-12-06,Columbia,1,1,3,1,False,1751,TIN-398059811,ITIN-529977029,False,No PEP match found.,75k-120k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2025-06-18,2025-09-28
CPD-0000082,CUST-000082,1974-11-13,Atlanta,1,2,2,1,False,3311,TIN-169993312,ITIN-906313165,False,No PEP match found.,25k-50k,50k-150k,Inheritance,2,1.0,False,Standard retail risk.,False,,2025-10-22,2026-04-15
CPD-0000083,CUST-000083,2001-04-07,Atlanta,1,1,1,1,False,4552,TIN-980373075,ITIN-992080026,False,No PEP match found.,75k-120k,<50k,Business income,1,,False,Standard retail risk.,False,,2024-11-21,2025-03-07
CPD-0000084,CUST-000084,1949-10-19,Raleigh,1,1,1,1,True,8372,TIN-768928444,ITIN-256952545,False,No PEP match found.,75k-120k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2024-10-15,2025-01-14
CPD-0000085,CUST-000085,1942-07-12,Miami,1,2,1,1,False,4513,TIN-382351958,ITIN-615240617,False,No PEP match found.,75k-120k,150k-500k,Savings and investments,1,2.0,True,Cross-border activity,True,2018-04-04,2026-03-06,2026-04-21
CPD-0000086,CUST-000086,1952-06-19,Raleigh,1,2,2,1,False,2976,TIN-513259332,ITIN-253111964,False,No PEP match found.,120k-200k,1m+,Savings and investments,1,,False,Standard retail risk.,False,,2025-04-24,2025-08-25
CPD-0000087,CUST-000087,1944-11-15,Atlanta,1,2,3,1,True,3751,TIN-402348636,ITIN-363562154,False,No PEP match found.,25k-50k,<50k,Salary,1,,False,Standard retail risk.,False,,2026-03-28,2026-05-01
CPD-0000088,CUST-000088,1948-03-29,Columbia,3,1,1,3,False,8002,TIN-284729361,ITIN-465349957,False,No PEP match found.,25k-50k,<50k,Business income,1,,False,Standard retail risk.,False,,2024-07-04,2024-10-02
CPD-0000089,CUST-000089,1989-02-03,Columbia,1,1,1,1,False,4607,TIN-139540441,ITIN-558450894,False,No PEP match found.,25k-50k,<50k,Business income,1,,False,Standard retail risk.,False,,2024-04-14,2024-08-29
CPD-0000090,CUST-000090,1948-04-12,Raleigh,3,2,3,3,False,4266,TIN-991058631,ITIN-685719064,False,No PEP match found.,50k-75k,<50k,Business income,1,,False,Standard retail risk.,False,,2025-05-30,2025-09-07
CPD-0000091,CUST-000091,1951-10-04,Miami,2,2,2,2,False,8252,TIN-470455630,ITIN-443687870,False,No PEP match found.,50k-75k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2026-08-23,2026-05-01
CPD-0000092,CUST-000092,1980-01-17,Raleigh,4,1,4,4,False,1122,TIN-646720658,ITIN-599342859,False,No PEP match found.,25k-50k,150k-500k,Inheritance,4,1.0,False,Standard retail risk.,False,,2024-09-07,2025-02-19
CPD-0000093,CUST-000093,1982-02-16,Columbia,1,2,4,1,False,0925,TIN-777836227,ITIN-753365414,False,No PEP match found.,50k-75k,500k-1m,Savings and investments,1,,False,Standard retail risk.,False,,2025-06-03,2025-09-03
CPD-0000094,CUST-000094,1942-03-17,Raleigh,2,1,1,2,False,3450,TIN-586378292,ITIN-136028136,False,No PEP match found.,200k+,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-04-23,2024-05-25
CPD-0000095,CUST-000095,1968-08-18,Atlanta,1,1,1,1,False,9212,TIN-231856419,ITIN-409425802,False,No PEP match found.,25k-50k,150k-500k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2025-12-05,2025-12-14
CPD-0000096,CUST-000096,1991-02-09,Columbia,4,2,2,4,True,3396,TIN-652891701,ITIN-881871197,False,No PEP match found.,25k-50k,50k-150k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2025-02-02,2025-03-23
CPD-0000097,CUST-000097,1961-05-07,Raleigh,2,2,2,2,False,9043,TIN-665075980,ITIN-636073675,False,No PEP match found.,75k-120k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2024-04-24,2024-09-24
CPD-0000098,CUST-000098,1965-09-28,Charlotte,3,2,3,3,False,8282,TIN-636461443,ITIN-230803939,False,No PEP match found.,75k-120k,<50k,Business income,1,,False,Standard retail risk.,False,,2025-05-27,2025-09-22
CPD-0000099,CUST-000099,1943-05-31,Columbia,1,1,2,1,False,7834,TIN-344744038,ITIN-314187838,False,No PEP match found.,75k-120k,150k-500k,Salary,1,,False,Standard retail risk.,False,,2024-12-04,2025-05-01
CPD-0000100,CUST-000100,1947-02-23,Atlanta,1,3,2,1,False,3121,TIN-436587797,ITIN-719053353,False,No PEP match found.,50k-75k,500k-1m,Salary,1,,False,Standard retail risk.,False,,2026-04-27,2026-05-01
CPD-0000101,CUST-000101,1987-01-15,Columbia,1,1,1,1,False,2676,TIN-718548911,ITIN-398079465,False,No PEP match found.,50k-75k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2024-08-31,2024-12-03
CPD-0000102,CUST-000102,1990-02-01,Columbia,1,1,2,1,False,9324,TIN-931361269,ITIN-835650582,False,No PEP match found.,25k-50k,1m+,Savings and investments,1,,True,KYC quality exception,False,,2025-11-16,2026-03-23
CPD-0000103,CUST-000103,1942-02-24,Jacksonville,1,2,1,1,False,3765,TIN-830688498,ITIN-243886158,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,2.0,False,Standard retail risk.,False,,2026-07-23,2026-05-01
CPD-0000104,CUST-000104,1973-04-01,Atlanta,1,1,2,1,False,6159,TIN-577359584,ITIN-258993955,False,No PEP match found.,120k-200k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2025-12-15,2026-04-27
CPD-0000105,CUST-000105,1950-05-08,Charlotte,4,1,2,4,False,6715,TIN-186962941,ITIN-434478940,False,No PEP match found.,75k-120k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2024-05-18,2024-09-12
CPD-0000106,CUST-000106,1994-01-15,Atlanta,1,2,4,1,False,9335,TIN-429540730,ITIN-895453511,False,No PEP match found.,75k-120k,<50k,Business income,1,,True,KYC quality exception,False,,2024-07-11,2024-07-25
CPD-0000107,CUST-000107,1983-04-25,Jacksonville,1,1,3,1,False,2276,TIN-121175298,ITIN-597594059,False,No PEP match found.,75k-120k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2025-09-17,2026-02-22
CPD-0000108,CUST-000108,1982-05-12,Charlotte,1,1,2,1,False,0874,TIN-521276842,ITIN-394401029,False,No PEP match found.,75k-120k,500k-1m,Business income,1,3.0,False,Standard retail risk.,False,,2025-08-19,2025-09-21
CPD-0000109,CUST-000109,2007-01-30,Columbia,1,1,2,1,False,9152,TIN-223417824,ITIN-278361127,False,No PEP match found.,25k-50k,<50k,Salary,1,,False,Standard retail risk.,False,,2026-05-06,2026-05-01
CPD-0000110,CUST-000110,1995-08-30,Raleigh,2,2,1,2,False,0010,TIN-697176903,ITIN-594666167,False,No PEP match found.,120k-200k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2026-02-19,2026-05-01
CPD-0000111,CUST-000111,1981-07-21,Miami,1,1,1,1,False,1760,TIN-356168305,ITIN-891103495,False,No PEP match found.,50k-75k,1m+,Inheritance,1,,False,Standard retail risk.,False,,2026-07-13,2026-05-01
CPD-0000112,CUST-000112,1963-09-04,Columbia,1,1,3,1,False,1561,TIN-611823835,ITIN-155865833,False,No PEP match found.,25k-50k,500k-1m,Salary,1,2.0,False,Standard retail risk.,False,,2026-09-16,2026-05-01
CPD-0000113,CUST-000113,1964-08-05,Columbia,1,2,3,1,False,5944,TIN-391905993,ITIN-957561835,False,No PEP match found.,50k-75k,<50k,Savings and investments,5,1.0,False,Standard retail risk.,False,,2024-11-19,2024-11-25
CPD-0000114,CUST-000114,1955-04-22,Miami,2,2,2,2,False,6778,TIN-923735125,ITIN-130666903,True,Potential local-government exposure; enhanced due diligence required.,50k-75k,50k-150k,Business income,1,,True,PEP-related monitoring,False,,2024-08-08,2024-12-15
CPD-0000115,CUST-000115,1973-03-11,Miami,1,2,2,1,False,4291,TIN-644240317,ITIN-142412424,False,No PEP match found.,25k-50k,500k-1m,Business income,3,1.0,False,Standard retail risk.,False,,2024-03-21,2024-06-20
CPD-0000116,CUST-000116,1960-08-06,Miami,1,2,1,1,False,6416,TIN-933887725,ITIN-890522905,False,No PEP match found.,75k-120k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2024-01-23,2024-06-12
CPD-0000117,CUST-000117,1946-10-30,Charlotte,1,1,1,1,False,4902,TIN-251546545,ITIN-452303796,False,No PEP match found.,50k-75k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2025-12-12,2026-04-24
