id,customer_id,id_type,id_category,id_number,id_serial_number,issuing_country_id,issuing_state,issuing_authority,issue_date,expiry_date,is_verified,verification_method,verified_by,verification_date,status,is_primary,is_suspected_fraud,fraud_notes,created_at,updated_at
CID-00000017,CUST-000009,National ID,government,NAT-789203118,SER-485575,1,SC,State DMV,2012-03-01,2015-08-07,True,in_branch_review,system_kyc,2025-07-28,expired,True,False,No fraud indicators.,2025-07-28,2025-09-06
CID-00000018,CUST-000009,Passport,travel,PAS-230524811,SER-738472,1,SC,US Department of State,2016-06-16,2021-08-24,True,document_scan,system_kyc,2025-08-02,expired,False,False,No fraud indicators.,2025-07-31,2025-10-16
CID-00000019,CUST-000010,National ID,government,NAT-426053599,SER-888218,1,GA,State DMV,2022-02-11,2029-05-02,True,in_branch_review,system_kyc,2025-10-19,active,True,False,No fraud indicators.,2025-10-17,2026-03-26
CID-00000020,CUST-000010,Passport,travel,PAS-381640664,SER-925574,1,GA,US Department of State,2020-06-05,2024-06-14,True,api_validation,system_kyc,2025-10-22,expired,False,False,No fraud indicators.,2025-10-22,2026-03-21
CID-00000021,CUST-000011,National ID,government,NAT-502923331,SER-706504,1,SC,State DMV,2024-10-19,2030-04-06,True,in_branch_review,system_kyc,2025-07-14,active,True,False,No fraud indicators.,2025-07-11,2025-08-08
CID-00000022,CUST-000011,Passport,travel,PAS-391937513,SER-570513,1,SC,US Department of State,2014-08-30,2018-05-01,True,in_branch_review,system_kyc,2025-07-12,expired,False,False,No fraud indicators.,2025-07-10,2025-09-29
CID-00000023,CUST-000012,National ID,government,NAT-885659183,SER-784247,1,GA,State DMV,2021-09-28,2028-01-15,True,api_validation,system_kyc,2025-01-02,active,True,False,No fraud indicators.,2025-01-02,2025-07-13
CID-00000024,CUST-000012,Passport,travel,PAS-808897518,SER-380838,1,GA,US Department of State,2011-09-16,2016-03-22,True,api_validation,system_kyc,2024-12-28,expired,False,False,No fraud indicators.,2024-12-28,2025-07-03
CID-00000025,CUST-000013,National ID,government,NAT-749252293,SER-883223,1,FL,State DMV,2022-09-21,2030-07-08,True,document_scan,system_kyc,2026-01-14,active,True,False,No fraud indicators.,2026-01-13,2026-04-12
CID-00000026,CUST-000013,Passport,travel,PAS-882401441,SER-548966,1,FL,US Department of State,2014-01-24,2020-08-11,True,document_scan,system_kyc,2026-01-12,expired,False,False,No fraud indicators.,2026-01-09,2026-02-13
CID-00000027,CUST-000014,National ID,government,NAT-949271533,SER-715241,1,FL,State DMV,2025-01-29,2030-01-09,True,in_branch_review,system_kyc,2025-05-24,active,True,False,No fraud indicators.,2025-05-23,2025-08-31
CID-00000028,CUST-000014,Passport,travel,PAS-960786648,SER-610964,1,FL,US Department of State,2017-11-12,2024-07-30,True,document_scan,system_kyc,2025-05-31,expired,False,False,No fraud indicators.,2025-05-28,2025-12-23
CID-00000029,CUST-000015,National ID,government,NAT-945839551,SER-708221,1,SC,State DMV,2020-05-18,2027-10-09,True,in_branch_review,system_kyc,2026-03-15,active,True,False,No fraud indicators.,2026-03-15,2026-05-01
CID-00000030,CUST-000015,Passport,travel,PAS-689879159,SER-470111,1,SC,US Department of State,2016-11-22,2024-09-27,True,api_validation,system_kyc,2026-03-22,expired,False,False,No fraud indicators.,2026-03-22,2026-05-01
CID-00000031,CUST-000016,National ID,government,NAT-238990646,SER-660828,1,SC,State DMV,2018-09-05,2028-09-01,True,in_branch_review,system_kyc,2025-05-17,active,True,False,No fraud indicators.,2025-05-15,2025-06-20
CID-00000032,CUST-000016,Passport,travel,PAS-387696983,SER-111926,1,SC,US Department of State,2026-02-22,2035-04-15,True,api_validation,system_kyc,2025-05-16,active,False,False,No fraud indicators.,2025-05-12,2025-08-05
CID-00000033,CUST-000017,National ID,government,NAT-269447272,SER-109810,1,FL,State DMV,2025-04-01,2032-10-30,True,in_branch_review,system_kyc,2026-05-04,active,True,False,No fraud indicators.,2026-05-03,2026-05-01
CID-00000034,CUST-000017,Passport,travel,PAS-520988301,SER-657356,1,FL,US Department of State,2019-08-07,2027-04-25,True,api_validation,system_kyc,2026-05-02,active,False,False,No fraud indicators.,2026-05-02,2026-05-01
CID-00000035,CUST-000018,National ID,government,NAT-457343469,SER-997169,1,GA,State DMV,2018-12-01,2025-02-24,True,document_scan,system_kyc,2024-12-12,expired,True,False,No fraud indicators.,2024-12-08,2025-02-28
CID-00000036,CUST-000018,Passport,travel,PAS-342085207,SER-359976,1,GA,US Department of State,2014-02-22,2021-04-02,True,in_branch_review,system_kyc,2024-12-11,expired,False,False,No fraud indicators.,2024-12-08,2025-04-12
CID-00000037,CUST-000019,National ID,government,NAT-183608577,SER-889555,1,NC,State DMV,2016-08-08,2024-06-06,True,in_branch_review,system_kyc,2026-01-17,expired,True,False,No fraud indicators.,2026-01-17,2026-05-01
CID-00000038,CUST-000019,Passport,travel,PAS-191572509,SER-655715,1,NC,US Department of State,2022-01-04,2030-02-01,True,api_validation,system_kyc,2026-01-25,active,False,False,No fraud indicators.,2026-01-23,2026-05-01
CID-00000039,CUST-000020,National ID,government,NAT-929625183,SER-998006,1,GA,State DMV,2019-12-23,2028-07-27,True,document_scan,system_kyc,2026-05-16,active,True,False,No fraud indicators.,2026-05-13,2026-05-01
CID-00000040,CUST-000020,Passport,travel,PAS-293535174,SER-686674,1,GA,US Department of State,2022-03-10,2031-04-20,True,in_branch_review,system_kyc,2026-05-17,active,False,False,No fraud indicators.,2026-05-16,2026-05-01
CID-00000041,CUST-000021,National ID,government,NAT-146716469,SER-376403,1,NC,State DMV,2018-05-18,2027-12-09,True,in_branch_review,system_kyc,2025-08-30,active,True,False,No fraud indicators.,2025-08-29,2026-04-04
CID-00000042,CUST-000021,Passport,travel,PAS-932363614,SER-804854,1,NC,US Department of State,2011-06-06,2015-08-17,True,document_scan,system_kyc,2025-08-29,expired,False,False,No fraud indicators.,2025-08-28,2026-03-13
CID-00000043,CUST-000022,National ID,government,NAT-238563020,SER-500502,1,GA,State DMV,2014-06-18,2021-04-02,True,document_scan,system_kyc,2026-08-30,expired,True,False,No fraud indicators.,2026-08-27,2026-05-01
CID-00000044,CUST-000022,Passport,travel,PAS-801998026,SER-589220,1,GA,US Department of State,2021-01-07,2025-04-15,True,document_scan,system_kyc,2026-08-26,expired,False,False,No fraud indicators.,2026-08-25,2026-05-01
CID-00000045,CUST-000023,National ID,government,NAT-608188803,SER-551790,1,SC,State DMV,2012-04-04,2020-09-25,True,in_branch_review,system_kyc,2024-11-18,expired,True,False,No fraud indicators.,2024-11-17,2025-01-30
CID-00000046,CUST-000023,Passport,travel,PAS-418021704,SER-566840,1,SC,US Department of State,2016-10-17,2021-02-07,True,document_scan,system_kyc,2024-11-15,expired,False,False,No fraud indicators.,2024-11-13,2025-04-28
CID-00000047,CUST-000024,National ID,government,NAT-590295939,SER-437181,1,FL,State DMV,2022-09-23,2027-01-08,True,api_validation,system_kyc,2025-01-25,active,True,False,No fraud indicators.,2025-01-24,2025-01-29
CID-00000048,CUST-000024,Passport,travel,PAS-941435401,SER-890169,1,FL,US Department of State,2012-09-26,2020-10-07,True,api_validation,system_kyc,2025-02-01,expired,False,False,No fraud indicators.,2025-01-29,2025-04-15
CID-00000049,CUST-000025,National ID,government,NAT-714996998,SER-185346,1,GA,State DMV,2019-05-15,2026-01-21,True,api_validation,system_kyc,2024-08-07,expired,True,False,No fraud indicators.,2024-08-03,2024-12-13
CID-00000050,CUST-000025,Passport,travel,PAS-892398611,SER-102352,1,GA,US Department of State,2022-03-16,2031-08-08,True,api_validation,system_kyc,2024-08-08,active,False,False,No fraud indicators.,2024-08-06,2025-03-06
CID-00000051,CUST-000026,National ID,government,NAT-202621401,SER-109779,1,SC,State DMV,2020-11-05,2027-11-09,True,api_validation,system_kyc,2024-06-16,active,True,False,No fraud indicators.,2024-06-14,2025-01-13
CID-00000052,CUST-000026,Passport,travel,PAS-639567981,SER-503700,1,SC,US Department of State,2014-11-09,2023-03-31,True,document_scan,system_kyc,2024-06-17,expired,False,False,No fraud indicators.,2024-06-13,2024-08-21
CID-00000053,CUST-000027,National ID,government,NAT-553541198,SER-953567,1,FL,State DMV,2015-03-21,2018-08-15,True,document_scan,system_kyc,2026-10-01,expired,True,False,No fraud indicators.,2026-09-28,2026-05-01
CID-00000054,CUST-000027,Passport,travel,PAS-514805191,SER-488706,1,FL,US Department of State,2023-03-04,2026-04-18,True,api_validation,system_kyc,2026-09-28,expired,False,False,No fraud indicators.,2026-09-27,2026-05-01
CID-00000055,CUST-000028,National ID,government,NAT-575216548,SER-829063,1,NC,State DMV,2014-09-16,2018-07-17,True,api_validation,system_kyc,2026-04-29,expired,True,False,No fraud indicators.,2026-04-26,2026-05-01
CID-00000056,CUST-000028,Passport,travel,PAS-741187962,SER-575275,1,NC,US Department of State,2018-01-16,2024-01-22,True,api_validation,system_kyc,2026-04-27,expired,False,False,No fraud indicators.,2026-04-24,2026-05-01
CID-00000057,CUST-000029,National ID,government,NAT-182604457,SER-827297,1,GA,State DMV,2024-05-26,2028-07-03,True,api_validation,system_kyc,2025-03-28,active,True,False,No fraud indicators.,2025-03-28,2025-08-09
CID-00000058,CUST-000029,Passport,travel,PAS-409432486,SER-359236,1,GA,US Department of State,2016-08-06,2025-08-17,True,document_scan,system_kyc,2025-03-30,expired,False,False,No fraud indicators.,2025-03-27,2025-08-12
CID-00000059,CUST-000030,National ID,government,NAT-294488669,SER-807020,1,FL,State DMV,2013-01-27,2018-01-04,True,document_scan,system_kyc,2026-01-31,expired,True,False,No fraud indicators.,2026-01-30,2026-05-01
CID-00000060,CUST-000030,Passport,travel,PAS-969467452,SER-424262,1,FL,US Department of State,2020-02-20,2027-04-23,True,in_branch_review,system_kyc,2026-02-02,active,False,False,No fraud indicators.,2026-01-30,2026-05-01
CID-00000061,CUST-000031,National ID,government,NAT-625949686,SER-909620,1,FL,State DMV,2018-06-11,2027-06-16,True,in_branch_review,system_kyc,2024-06-10,active,True,False,No fraud indicators.,2024-06-07,2024-12-03
CID-00000062,CUST-000031,Passport,travel,PAS-100112415,SER-981669,1,FL,US Department of State,2023-12-17,2028-03-20,True,document_scan,system_kyc,2024-06-10,active,False,False,No fraud indicators.,2024-06-08,2024-07-29
CID-00000063,CUST-000032,National ID,government,NAT-510007987,SER-441481,1,FL,State DMV,2020-08-25,2027-01-21,True,in_branch_review,system_kyc,2024-02-15,active,True,False,No fraud indicators.,2024-02-15,2024-09-04
CID-00000064,CUST-000032,Passport,travel,PAS-465660533,SER-897304,1,FL,US Department of State,2025-11-29,2030-07-12,True,document_scan,system_kyc,2024-02-18,active,False,False,No fraud indicators.,2024-02-18,2024-03-11
CID-00000065,CUST-000033,National ID,government,NAT-714190484,SER-949049,1,NC,State DMV,2019-12-10,2025-05-14,True,document_scan,system_kyc,2025-05-11,expired,True,False,No fraud indicators.,2025-05-07,2025-07-20
CID-00000066,CUST-000033,Passport,travel,PAS-772702746,SER-969491,1,NC,US Department of State,2025-02-18,2029-07-27,True,in_branch_review,system_kyc,2025-05-13,active,False,False,No fraud indicators.,2025-05-11,2025-09-02
CID-00000067,CUST-000034,National ID,government,NAT-596308876,SER-555481,1,GA,State DMV,2013-08-29,2018-12-12,True,api_validation,system_kyc,2025-05-23,expired,True,False,No fraud indicators.,2025-05-19,2025-08-18
CID-00000068,CUST-000034,Passport,travel,PAS-110206789,SER-767490,1,GA,US Department of State,2021-08-28,2026-05-01,True,in_branch_review,system_kyc,2025-05-12,expired,False,False,No fraud indicators.,2025-05-10,2025-10-15
CID-00000069,CUST-000035,National ID,government,NAT-709401483,SER-377999,1,FL,State DMV,2022-01-20,2026-03-12,True,in_branch_review,system_kyc,2026-04-28,expired,True,False,No fraud indicators.,2026-04-28,2026-05-01
CID-00000070,CUST-000035,Passport,travel,PAS-270294859,SER-390498,1,FL,US Department of State,2025-07-22,2030-03-12,True,document_scan,system_kyc,2026-05-01,active,False,False,No fraud indicators.,2026-04-28,2026-05-01
CID-00000071,CUST-000036,National ID,government,NAT-501806340,SER-863111,1,SC,State DMV,2019-07-30,2022-10-07,True,document_scan,system_kyc,2025-11-06,expired,True,False,No fraud indicators.,2025-11-03,2026-02-05
CID-00000072,CUST-000036,Passport,travel,PAS-974995917,SER-665704,1,SC,US Department of State,2014-04-26,2020-02-20,True,in_branch_review,system_kyc,2025-11-04,expired,False,False,No fraud indicators.,2025-11-03,2025-11-25
CID-00000073,CUST-000037,National ID,government,NAT-645304475,SER-525348,1,GA,State DMV,2018-11-17,2025-02-25,True,document_scan,system_kyc,2025-01-13,expired,True,False,No fraud indicators.,2025-01-12,2025-03-26
CID-00000074,CUST-000037,Passport,travel,PAS-415338969,SER-577414,1,GA,US Department of State,2018-11-24,2023-10-11,True,document_scan,system_kyc,2025-01-07,expired,False,False,No fraud indicators.,2025-01-04,2025-07-30
CID-00000075,CUST-000038,National ID,government,NAT-711355016,SER-743241,1,FL,State DMV,2012-01-15,2017-12-23,True,api_validation,system_kyc,2024-12-14,expired,True,False,No fraud indicators.,2024-12-14,2025-03-28
CID-00000076,CUST-000038,Passport,travel,PAS-480114881,SER-239302,1,FL,US Department of State,2025-06-23,2032-11-15,True,api_validation,system_kyc,2024-12-12,active,False,False,No fraud indicators.,2024-12-09,2025-03-10
CID-00000077,CUST-000039,National ID,government,NAT-775914136,SER-460578,1,GA,State DMV,2016-07-19,2021-06-29,True,in_branch_review,system_kyc,2026-02-12,expired,True,False,No fraud indicators.,2026-02-12,2026-03-27
CID-00000078,CUST-000039,Passport,travel,PAS-793586446,SER-112690,1,GA,US Department of State,2012-09-02,2017-12-21,True,in_branch_review,system_kyc,2026-02-17,expired,False,False,No fraud indicators.,2026-02-14,2026-05-01
CID-00000079,CUST-000040,National ID,government,NAT-772557875,SER-803210,1,SC,State DMV,2024-10-26,2033-11-29,True,api_validation,system_kyc,2026-07-13,active,True,False,No fraud indicators.,2026-07-10,2026-05-01
CID-00000080,CUST-000040,Passport,travel,PAS-233161430,SER-927302,1,SC,US Department of State,2024-02-15,2030-01-28,True,api_validation,system_kyc,2026-07-09,active,False,False,No fraud indicators.,2026-07-05,2026-05-01
CID-00000081,CUST-000041,National ID,government,NAT-240606958,SER-382420,1,NC,State DMV,2013-09-06,2016-09-21,True,document_scan,system_kyc,2026-05-09,expired,True,False,No fraud indicators.,2026-05-05,2026-05-01
CID-00000082,CUST-000041,Passport,travel,PAS-842877094,SER-242615,1,NC,US Department of State,2023-12-26,2030-10-04,True,api_validation,system_kyc,2026-05-12,active,False,False,No fraud indicators.,2026-05-09,2026-05-01
CID-00000083,CUST-000042,National ID,government,NAT-749950398,SER-801666,1,FL,State DMV,2023-03-08,2026-12-14,True,api_validation,system_kyc,2025-06-26,active,True,False,No fraud indicators.,2025-06-22,2025-10-15
CID-00000084,CUST-000042,Passport,travel,PAS-568041025,SER-801914,1,FL,US Department of State,2017-04-23,2025-09-07,True,document_scan,system_kyc,2025-06-26,expired,False,False,No fraud indicators.,2025-06-24,2025-11-01
CID-00000085,CUST-000043,National ID,government,NAT-957436081,SER-868920,1,FL,State DMV,2023-09-10,2028-08-28,True,in_branch_review,system_kyc,2026-07-19,active,True,False,No fraud indicators.,2026-07-16,2026-05-01
CID-00000086,CUST-000043,Passport,travel,PAS-573087804,SER-113656,1,FL,US Department of State,2014-10-09,2018-06-13,True,in_branch_review,system_kyc,2026-07-20,expired,False,False,No fraud indicators.,2026-07-17,2026-05-01
CID-00000087,CUST-000044,National ID,government,NAT-905418352,SER-669941,1,NC,State DMV,2020-12-14,2027-12-07,True,document_scan,system_kyc,2024-12-14,active,True,False,No fraud indicators.,2024-12-12,2025-02-15
CID-00000088,CUST-000044,Passport,travel,PAS-784716051,SER-417826,1,NC,US Department of State,2021-04-17,2026-07-24,True,document_scan,system_kyc,2024-12-11,active,False,False,No fraud indicators.,2024-12-08,2025-01-10
CID-00000089,CUST-000045,National ID,government,NAT-757201310,SER-540549,1,GA,State DMV,2016-08-17,2024-04-11,True,api_validation,system_kyc,2026-07-21,expired,True,False,No fraud indicators.,2026-07-21,2026-05-01
CID-00000090,CUST-000045,Passport,travel,PAS-731430955,SER-207268,1,GA,US Department of State,2017-03-25,2021-10-11,True,document_scan,system_kyc,2026-07-26,expired,False,False,No fraud indicators.,2026-07-26,2026-05-01
CID-00000091,CUST-000046,National ID,government,NAT-902480078,SER-811812,1,NC,State DMV,2021-12-22,2028-01-31,True,document_scan,system_kyc,2025-08-26,active,True,False,No fraud indicators.,2025-08-25,2025-11-27
CID-00000092,CUST-000046,Passport,travel,PAS-263603449,SER-471296,1,NC,US Department of State,2018-12-30,2028-06-14,True,document_scan,system_kyc,2025-09-01,active,False,False,No fraud indicators.,2025-09-01,2025-11-11
CID-00000093,CUST-000047,National ID,government,NAT-384365637,SER-978121,1,NC,State DMV,2011-11-11,2019-06-12,True,document_scan,system_kyc,2025-12-16,expired,True,False,No fraud indicators.,2025-12-12,2026-05-01
CID-00000094,CUST-000047,Passport,travel,PAS-366799946,SER-219096,1,NC,US Department of State,2025-09-06,2029-09-04,True,document_scan,system_kyc,2025-12-12,active,False,False,No fraud indicators.,2025-12-12,2026-05-01
CID-00000095,CUST-000048,National ID,government,NAT-723487223,SER-561241,1,FL,State DMV,2022-06-20,2029-12-12,True,document_scan,system_kyc,2025-09-16,active,True,False,No fraud indicators.,2025-09-16,2026-04-09
CID-00000096,CUST-000048,Passport,travel,PAS-158546564,SER-582455,1,FL,US Department of State,2023-05-15,2027-12-17,True,in_branch_review,system_kyc,2025-09-22,active,False,False,No fraud indicators.,2025-09-20,2026-04-11
CID-00000097,CUST-000049,National ID,government,NAT-161808057,SER-312582,1,FL,State DMV,2022-01-22,2026-10-18,True,in_branch_review,system_kyc,2026-02-13,active,True,False,No fraud indicators.,2026-02-09,2026-04-01
CID-00000098,CUST-000049,Passport,travel,PAS-885978146,SER-690840,1,FL,US Department of State,2013-08-30,2023-01-27,True,in_branch_review,system_kyc,2026-02-07,expired,False,False,No fraud indicators.,2026-02-06,2026-05-01
CID-00000099,CUST-000050,National ID,government,NAT-458426479,SER-636356,1,SC,State DMV,2018-12-29,2026-07-31,True,document_scan,system_kyc,2026-08-29,active,True,False,No fraud indicators.,2026-08-26,2026-05-01
CID-00000100,CUST-000050,Passport,travel,PAS-186768940,SER-941055,1,SC,US Department of State,2023-07-27,2028-08-17,True,document_scan,system_kyc,2026-09-02,active,False,False,No fraud indicators.,2026-09-02,2026-05-01
CID-00000101,CUST-000051,National ID,government,NAT-941486340,SER-622687,1,NC,State DMV,2017-06-01,2026-07-04,True,document_scan,system_kyc,2024-05-04,active,True,False,No fraud indicators.,2024-05-03,2024-09-24
CID-00000102,CUST-000051,Passport,travel,PAS-230787937,SER-950396,1,NC,US Department of State,2017-03-12,2021-11-23,True,in_branch_review,system_kyc,2024-05-06,expired,False,False,No fraud indicators.,2024-05-03,2024-12-07
CID-00000103,CUST-000052,National ID,government,NAT-664573528,SER-622862,1,GA,State DMV,2016-06-18,2024-08-05,True,api_validation,system_kyc,2025-07-17,expired,True,False,No fraud indicators.,2025-07-16,2025-08-26
CID-00000104,CUST-000052,Passport,travel,PAS-244702146,SER-405874,1,GA,US Department of State,2023-12-03,2032-08-10,True,document_scan,system_kyc,2025-07-11,active,False,False,No fraud indicators.,2025-07-09,2025-12-27
CID-00000105,CUST-000053,National ID,government,NAT-180826979,SER-818137,1,NC,State DMV,2024-12-05,2029-02-25,True,document_scan,system_kyc,2026-09-20,active,True,False,No fraud indicators.,2026-09-16,2026-05-01
CID-00000106,CUST-000053,Passport,travel,PAS-598708723,SER-608079,1,NC,US Department of State,2014-10-29,2024-02-08,True,api_validation,system_kyc,2026-09-21,expired,False,False,No fraud indicators.,2026-09-17,2026-05-01
CID-00000107,CUST-000054,National ID,government,NAT-669706023,SER-393360,1,FL,State DMV,2017-09-20,2026-06-24,True,document_scan,system_kyc,2026-01-29,active,True,False,No fraud indicators.,2026-01-29,2026-02-26
CID-00000108,CUST-000054,Passport,travel,PAS-324219789,SER-125436,1,FL,US Department of State,2020-04-30,2026-02-10,True,document_scan,system_kyc,2026-01-26,expired,False,False,No fraud indicators.,2026-01-23,2026-03-20
CID-00000109,CUST-000055,National ID,government,NAT-663487779,SER-790313,1,SC,State DMV,2018-05-02,2026-09-17,True,in_branch_review,system_kyc,2024-02-13,active,True,False,No fraud indicators.,2024-02-11,2024-04-15
CID-00000110,CUST-000055,Passport,travel,PAS-637389115,SER-402307,1,SC,US Department of State,2012-10-31,2018-07-27,True,in_branch_review,system_kyc,2024-02-20,expired,False,False,No fraud indicators.,2024-02-18,2024-09-23
CID-00000111,CUST-000056,National ID,government,NAT-778012962,SER-233286,1,FL,State DMV,2021-12-06,2030-12-06,True,document_scan,system_kyc,2026-09-26,active,True,False,No fraud indicators.,2026-09-23,2026-05-01
CID-00000112,CUST-000056,Passport,travel,PAS-104947970,SER-144125,1,FL,US Department of State,2018-09-23,2028-07-01,True,in_branch_review,system_kyc,2026-09-20,active,False,False,No fraud indicators.,2026-09-16,2026-05-01
CID-00000113,CUST-000057,National ID,government,NAT-644352360,SER-232069,1,NC,State DMV,2019-09-01,2024-06-27,True,in_branch_review,system_kyc,2025-02-23,expired,True,False,No fraud indicators.,2025-02-23,2025-06-22
CID-00000114,CUST-000057,Passport,travel,PAS-848156448,SER-363657,1,NC,US Department of State,2020-10-26,2024-04-27,True,in_branch_review,system_kyc,2025-02-23,expired,False,False,No fraud indicators.,2025-02-19,2025-06-18
CID-00000115,CUST-000058,National ID,government,NAT-587493395,SER-433727,1,NC,State DMV,2022-01-11,2025-07-29,True,api_validation,system_kyc,2025-07-18,expired,True,False,No fraud indicators.,2025-07-17,2026-01-25
CID-00000116,CUST-000058,Passport,travel,PAS-738793926,SER-349690,1,NC,US Department of State,2025-07-20,2033-12-07,True,in_branch_review,system_kyc,2025-07-19,active,False,False,No fraud indicators.,2025-07-19,2025-10-05
CID-00000117,CUST-000059,National ID,government,NAT-959003737,SER-244053,1,SC,State DMV,2012-04-23,2019-09-30,True,in_branch_review,system_kyc,2026-04-15,expired,True,False,No fraud indicators.,2026-04-11,2026-05-01
CID-00000118,CUST-000059,Passport,travel,PAS-358573643,SER-241087,1,SC,US Department of State,2022-06-02,2029-01-06,True,api_validation,system_kyc,2026-04-06,active,False,False,No fraud indicators.,2026-04-06,2026-05-01
CID-00000119,CUST-000060,National ID,government,NAT-311594746,SER-996879,1,FL,State DMV,2015-05-20,2022-10-26,True,api_validation,system_kyc,2024-02-21,expired,True,False,No fraud indicators.,2024-02-19,2024-08-02
CID-00000120,CUST-000060,Passport,travel,PAS-526456412,SER-581827,1,FL,US Department of State,2019-10-15,2023-01-06,True,in_branch_review,system_kyc,2024-02-22,expired,False,False,No fraud indicators.,2024-02-22,2024-06-15
CID-00000121,CUST-000061,National ID,government,NAT-974725083,SER-991352,1,FL,State DMV,2017-09-17,2023-10-08,True,document_scan,system_kyc,2025-12-27,expired,True,False,No fraud indicators.,2025-12-24,2026-05-01
CID-00000122,CUST-000061,Passport,travel,PAS-169609601,SER-862965,1,FL,US Department of State,2014-08-09,2019-04-29,True,api_validation,system_kyc,2025-12-20,expired,False,False,No fraud indicators.,2025-12-19,2026-01-01
CID-00000123,CUST-000062,National ID,government,NAT-244387883,SER-214412,1,GA,State DMV,2014-02-01,2021-01-19,True,in_branch_review,system_kyc,2026-01-20,expired,True,False,No fraud indicators.,2026-01-20,2026-03-17
CID-00000124,CUST-000062,Passport,travel,PAS-254717825,SER-581971,1,GA,US Department of State,2021-02-26,2030-04-29,True,api_validation,system_kyc,2026-01-18,active,False,False,No fraud indicators.,2026-01-16,2026-02-22
CID-00000125,CUST-000063,National ID,government,NAT-456992696,SER-855595,1,FL,State DMV,2014-04-04,2018-01-29,True,api_validation,system_kyc,2024-08-28,expired,True,False,No fraud indicators.,2024-08-27,2024-11-17
CID-00000126,CUST-000063,Passport,travel,PAS-718746443,SER-373972,1,FL,US Department of State,2014-05-23,2018-08-24,True,document_scan,system_kyc,2024-08-29,expired,False,False,No fraud indicators.,2024-08-27,2024-09-23
