customer_id,customer_name,branch_id,product_id,signup_date,segment,state_code
CUST-000024,Ishaan Ahuja,BR-010,PRD-004,2025-01-24,Mass Retail,FL
CUST-000025,Mohini Taneja,BR-009,PRD-003,2024-07-28,Small Business,GA
CUST-000026,Harold Sanders,BR-006,PRD-001,2024-06-13,Growth,SC
CUST-000027,Kriti Gupta,BR-012,PRD-003,2026-09-20,Small Business,FL
CUST-000028,Grace Lee,BR-003,PRD-006,2026-04-22,Emerging,NC
CUST-000029,Leah Wallace,BR-007,PRD-002,2025-03-26,Mass Retail,GA
CUST-000030,Lindsey Martin,BR-011,PRD-002,2026-01-28,Mass Affluent,FL
CUST-000031,Evelyn Gagnon,BR-012,PRD-001,2024-05-31,Growth,FL
CUST-000032,Teresa Ward,BR-012,PRD-001,2024-02-14,Mass Retail,FL
CUST-000033,Marcus Simard,BR-003,PRD-003,2025-05-07,Small Business,NC
CUST-000034,Peyton Foster,BR-009,PRD-001,2025-05-10,Mass Retail,GA
CUST-000035,Amelia Boucher,BR-011,PRD-004,2026-04-26,Affluent,FL
CUST-000036,Morgan Thompson,BR-005,PRD-004,2025-11-03,Mass Retail,SC
CUST-000037,Yves Plante,BR-009,PRD-003,2025-01-03,Small Business,GA
CUST-000038,Bella Lewis,BR-011,PRD-005,2024-12-05,Mass Retail,FL
CUST-000039,Betty Young,BR-007,PRD-005,2026-02-10,Mass Retail,GA
CUST-000040,Raymond Boyd,BR-006,PRD-003,2026-07-02,Small Business,SC
CUST-000041,Beverly Fisher,BR-002,PRD-002,2026-05-03,Mass Affluent,NC
CUST-000042,Catherine Rogers,BR-011,PRD-001,2025-06-17,Mass Retail,FL
CUST-000043,Alan Butler,BR-012,PRD-004,2026-07-10,Mass Retail,FL
CUST-000044,Jade Kim,BR-001,PRD-001,2024-12-06,Mass Retail,NC
CUST-000045,Kennedy Daniels,BR-008,PRD-002,2026-07-20,Mass Retail,GA
CUST-000046,Tanya Murphy,BR-002,PRD-001,2025-08-23,Mass Retail,NC
CUST-000047,Sophia Gardner,BR-003,PRD-004,2025-12-06,Growth,NC
CUST-000048,Grant Graham,BR-010,PRD-003,2025-09-14,Small Business,FL
CUST-000049,Jason Jimenez,BR-012,PRD-006,2026-02-03,Mass Retail,FL
CUST-000050,Claire Evans,BR-004,PRD-005,2026-08-25,Mass Affluent,SC
CUST-000051,Caroline Martel,BR-001,PRD-004,2024-04-24,Mass Retail,NC
CUST-000052,Luke Dubois,BR-008,PRD-004,2025-07-09,Growth,GA
CUST-000053,Jack Spencer,BR-002,PRD-001,2026-09-15,Affluent,NC
CUST-000054,Grace Myers,BR-012,PRD-002,2026-01-22,Mass Retail,FL
CUST-000055,Serenity Price,BR-004,PRD-005,2024-02-11,Mass Retail,SC
CUST-000056,Sharon Gonzales,BR-011,PRD-002,2026-09-16,Mass Affluent,FL
CUST-000057,Joshua Gordon,BR-003,PRD-005,2025-02-17,Emerging,NC
CUST-000058,Stella Leblanc,BR-003,PRD-005,2025-07-11,Mass Affluent,NC
CUST-000059,Mario Wilson,BR-006,PRD-001,2026-04-05,Mass Retail,SC
CUST-000060,Owen Martel,BR-012,PRD-001,2024-02-18,Affluent,FL
CUST-000061,Owen Dube,BR-010,PRD-005,2025-12-17,Mass Affluent,FL
CUST-000062,Henry Medina,BR-009,PRD-005,2026-01-12,Emerging,GA
CUST-000063,Ellie Brown,BR-011,PRD-004,2024-08-23,Growth,FL
CUST-000064,Tanya Brown,BR-006,PRD-003,2024-01-05,Small Business,SC
CUST-000065,Francoise Savard,BR-004,PRD-001,2025-11-10,Mass Retail,SC
CUST-000066,Jean Turner,BR-009,PRD-004,2026-06-18,Mass Retail,GA
CUST-000067,Bhairavi Goel,BR-005,PRD-002,2026-05-06,Mass Affluent,SC
CUST-000068,Catherine Morgan,BR-011,PRD-003,2024-10-27,Small Business,FL
CUST-000069,Ava Lopez,BR-006,PRD-001,2025-02-02,Growth,SC
CUST-000070,Himani Wadhwa,BR-011,PRD-001,2024-07-07,Mass Retail,FL
CUST-000071,Zachary Nguyen,BR-006,PRD-005,2025-12-21,Mass Affluent,SC
CUST-000072,Thomas Peterson,BR-008,PRD-002,2024-10-24,Mass Retail,GA
CUST-000073,Matthew Russell,BR-002,PRD-006,2025-07-31,Mass Retail,NC
CUST-000074,Martha Nguyen,BR-009,PRD-002,2025-08-20,Mass Affluent,GA
CUST-000075,Piper Daniels,BR-003,PRD-001,2025-05-13,Mass Retail,NC
CUST-000076,Smriti Khanna,BR-001,PRD-001,2024-03-08,Mass Retail,NC
CUST-000077,Ivan Knight,BR-004,PRD-004,2025-03-31,Mass Retail,SC
CUST-000078,Madison Spencer,BR-006,PRD-006,2025-02-26,Mass Retail,SC
CUST-000079,Preston Moreno,BR-007,PRD-001,2025-06-27,Growth,GA
CUST-000080,Miguel Bryant,BR-005,PRD-002,2024-08-24,Mass Affluent,SC
CUST-000081,Spencer Henderson,BR-004,PRD-004,2025-06-15,Affluent,SC
CUST-000082,Penelope Hunter,BR-008,PRD-002,2025-10-18,Mass Retail,GA
CUST-000083,Mary Palmer,BR-004,PRD-001,2024-11-19,Growth,SC
CUST-000084,Morgan Bell,BR-001,PRD-003,2024-10-11,Small Business,NC
CUST-000085,Felix White,BR-004,PRD-005,2026-03-06,Mass Retail,SC
CUST-000086,Willow Cole,BR-011,PRD-006,2025-04-23,Mass Retail,FL
CUST-000087,Eugene Simmons,BR-004,PRD-006,2026-03-28,Mass Retail,SC
CUST-000088,Lily Taylor,BR-006,PRD-003,2024-07-04,Small Business,SC
CUST-000089,Mackenzie Freeman,BR-004,PRD-004,2024-04-12,Growth,SC
CUST-000090,Jayden Evans,BR-010,PRD-002,2025-05-29,Mass Retail,FL
CUST-000091,Colleen Sinclair,BR-012,PRD-001,2026-08-21,Mass Retail,FL
CUST-000092,Keerthi Arora,BR-001,PRD-001,2024-09-04,Mass Retail,NC
CUST-000093,Patricia Medina,BR-004,PRD-002,2025-06-02,Mass Retail,SC
CUST-000094,Eric Price,BR-011,PRD-002,2024-04-22,Mass Retail,FL
CUST-000095,Lily Thompson,BR-011,PRD-001,2025-12-01,Mass Retail,FL
CUST-000096,Dev Saha,BR-006,PRD-002,2025-01-30,Mass Retail,SC
CUST-000097,Katherine Hughes,BR-004,PRD-005,2024-04-22,Emerging,SC
CUST-000098,Colin Beaulieu,BR-002,PRD-003,2025-05-25,Small Business,NC
CUST-000099,Vincent Reyes,BR-001,PRD-002,2024-11-30,Mass Affluent,NC
CUST-000100,Hudson Diaz,BR-006,PRD-001,2026-04-24,Mass Retail,SC
CUST-000101,Marilyn McDonald,BR-008,PRD-003,2024-08-31,Small Business,GA
CUST-000102,Evelyn Mitchell,BR-011,PRD-001,2025-11-16,Mass Retail,FL
CUST-000103,Billy Gardner,BR-003,PRD-001,2026-07-23,Mass Retail,NC
CUST-000104,Sydney Snyder,BR-011,PRD-001,2025-12-15,Mass Retail,FL
CUST-000105,Dhara Mittal,BR-004,PRD-006,2024-05-18,Emerging,SC
CUST-000106,Kevin Clark,BR-012,PRD-001,2024-07-08,Mass Retail,FL
CUST-000107,Sofia Ortiz,BR-009,PRD-001,2025-09-14,Mass Retail,GA
CUST-000108,Julia Thomas,BR-003,PRD-005,2025-08-15,Emerging,NC
CUST-000109,Jack Miller,BR-004,PRD-004,2026-05-06,Mass Retail,SC
CUST-000110,Carolyn White,BR-011,PRD-005,2026-02-15,Mass Retail,FL
CUST-000111,Ralph Diaz,BR-003,PRD-002,2026-07-11,Mass Affluent,NC
CUST-000112,Manuel Johnson,BR-011,PRD-002,2026-09-15,Mass Affluent,FL
CUST-000113,Steven Knight,BR-002,PRD-005,2024-11-15,Mass Retail,NC
CUST-000114,Paige Murphy,BR-004,PRD-002,2024-08-05,Mass Retail,SC
CUST-000115,Mario Elliott,BR-010,PRD-001,2024-03-19,Mass Retail,FL
CUST-000116,Kimberly Collins,BR-005,PRD-001,2024-01-20,Affluent,SC
CUST-000117,Frances Rivera,BR-011,PRD-004,2025-12-11,Mass Retail,FL
CUST-000118,Melanie Rose,BR-002,PRD-003,2026-06-12,Small Business,NC
CUST-000119,Trinity Morgan,BR-003,PRD-001,2024-05-06,Affluent,NC
CUST-000120,Kennedy Rice,BR-001,PRD-003,2024-06-22,Small Business,NC
CUST-000121,Ashley Payne,BR-002,PRD-001,2026-09-22,Mass Retail,NC
CUST-000122,Neeraj Saha,BR-007,PRD-003,2026-09-24,Small Business,GA
CUST-000123,Mark Barnes,BR-005,PRD-006,2024-05-07,Mass Affluent,SC
CUST-000124,Olivia Myers,BR-005,PRD-004,2025-06-22,Mass Retail,SC
CUST-000125,Etienne Ouellet,BR-009,PRD-003,2024-02-20,Small Business,GA
CUST-000126,Bradley Ross,BR-002,PRD-004,2024-10-22,Growth,NC
CUST-000127,Marc Cooper,BR-003,PRD-003,2024-01-19,Small Business,NC
CUST-000128,Jenna White,BR-002,PRD-005,2024-08-20,Mass Retail,NC
CUST-000129,Levi Edwards,BR-008,PRD-003,2025-09-05,Small Business,GA
CUST-000130,Daniel Clark,BR-007,PRD-004,2025-02-01,Affluent,GA
CUST-000131,Alexandre Bailey,BR-010,PRD-004,2025-07-23,Growth,FL
CUST-000132,William Johnson,BR-002,PRD-003,2025-02-24,Small Business,NC
CUST-000133,Roberto Grant,BR-012,PRD-005,2024-01-13,Mass Retail,FL
CUST-000134,Drake Kelly,BR-006,PRD-001,2025-02-13,Growth,SC
CUST-000135,Stanley Ward,BR-008,PRD-004,2025-01-31,Mass Retail,GA
CUST-000136,Francisco Warren,BR-005,PRD-001,2026-08-23,Mass Retail,SC
CUST-000137,Eduardo Reynolds,BR-012,PRD-006,2026-05-12,Mass Retail,FL
CUST-000138,Rebecca Jackson,BR-005,PRD-004,2025-04-16,Growth,SC
CUST-000139,Lakshmi Choudhury,BR-008,PRD-003,2025-01-15,Small Business,GA
CUST-000140,Anushka Patel,BR-002,PRD-004,2026-01-14,Affluent,NC
CUST-000141,Isla Flores,BR-012,PRD-001,2025-07-26,Growth,FL
CUST-000142,Mason Mitchell,BR-009,PRD-005,2026-05-19,Emerging,GA
CUST-000143,Luke White,BR-001,PRD-004,2024-07-24,Mass Retail,NC
CUST-000144,Nora Ford,BR-003,PRD-002,2026-09-10,Mass Affluent,NC
CUST-000145,Karen McDonald,BR-012,PRD-002,2026-06-10,Mass Retail,FL
CUST-000146,Mia Howard,BR-005,PRD-003,2025-09-03,Small Business,SC
CUST-000147,Evan Gomez,BR-005,PRD-003,2025-02-14,Small Business,SC
CUST-000148,Angela Pierce,BR-007,PRD-002,2026-07-28,Mass Retail,GA
CUST-000149,Finn Stewart,BR-005,PRD-002,2025-01-13,Mass Retail,SC
CUST-000150,Kapil Subramaniam,BR-004,PRD-004,2024-06-12,Mass Retail,SC
CUST-000151,Mia Patel,BR-001,PRD-001,2026-08-16,Mass Retail,NC
CUST-000152,Meera Roy,BR-006,PRD-006,2026-01-26,Mass Retail,SC
CUST-000153,Hazel Lachance,BR-006,PRD-001,2024-07-21,Mass Retail,SC
CUST-000154,Krisha Gupta,BR-001,PRD-001,2025-04-15,Mass Retail,NC
CUST-000155,Margaret Hayes,BR-001,PRD-006,2025-04-28,Mass Retail,NC
CUST-000156,Denise Knight,BR-009,PRD-001,2025-05-12,Mass Retail,GA
CUST-000157,Brittany Campbell,BR-002,PRD-004,2024-10-22,Growth,NC
CUST-000158,Marie West,BR-010,PRD-006,2026-06-24,Mass Affluent,FL
CUST-000159,Brittany Simpson,BR-005,PRD-001,2026-08-14,Mass Retail,SC
CUST-000160,Leonardo Warren,BR-012,PRD-003,2024-11-01,Small Business,FL
CUST-000161,Douglas Peters,BR-006,PRD-005,2024-04-07,Mass Retail,SC
CUST-000162,Aayushi Kamble,BR-005,PRD-001,2025-06-28,Mass Retail,SC
CUST-000163,Diana Medina,BR-006,PRD-005,2024-06-09,Mass Retail,SC
CUST-000164,Corey Tran,BR-007,PRD-002,2026-01-08,Mass Retail,GA
CUST-000165,Faisal Mathew,BR-011,PRD-004,2025-02-10,Affluent,FL
CUST-000166,Nicole Washington,BR-001,PRD-006,2024-07-26,Emerging,NC
CUST-000167,Jonathan Kim,BR-003,PRD-001,2026-06-18,Mass Retail,NC
CUST-000168,Gilles Roy,BR-003,PRD-001,2026-04-29,Mass Retail,NC
CUST-000169,Asher Sharma,BR-001,PRD-001,2025-03-27,Affluent,NC
CUST-000170,Claire Robinson,BR-002,PRD-005,2026-05-04,Mass Retail,NC
CUST-000171,Alexis Moreno,BR-007,PRD-001,2025-06-16,Mass Retail,GA
CUST-000172,Lindsey Harris,BR-004,PRD-006,2024-06-10,Mass Affluent,SC
CUST-000173,Leslie Palmer,BR-001,PRD-003,2026-02-19,Small Business,NC
CUST-000174,Chase Bell,BR-004,PRD-003,2025-05-07,Small Business,SC
CUST-000175,Shirley Jones,BR-005,PRD-002,2025-06-22,Mass Retail,SC
CUST-000176,Christina Dunn,BR-005,PRD-006,2024-05-06,Mass Retail,SC
CUST-000177,Aaradhya Sethi,BR-011,PRD-001,2026-08-15,Mass Retail,FL
CUST-000178,Sophie Morin,BR-012,PRD-001,2024-07-27,Mass Retail,FL
CUST-000179,Wyatt Griffin,BR-005,PRD-006,2024-04-29,Mass Retail,SC
CUST-000180,Rose Tucker,BR-011,PRD-002,2025-09-02,Mass Affluent,FL
CUST-000181,Maria Elliott,BR-007,PRD-001,2025-06-18,Growth,GA
CUST-000182,Penelope Sullivan,BR-002,PRD-004,2026-04-01,Mass Retail,NC
CUST-000183,Omar Ross,BR-011,PRD-006,2024-06-02,Mass Retail,FL
CUST-000184,Owen Henderson,BR-007,PRD-002,2024-02-20,Mass Affluent,GA
CUST-000185,Catherine Castillo,BR-008,PRD-004,2025-09-17,Affluent,GA
CUST-000186,Patrick Myers,BR-010,PRD-006,2024-07-31,Mass Retail,FL
CUST-000187,Mathieu Carter,BR-004,PRD-001,2025-10-03,Growth,SC
CUST-000188,Grayson Cunningham,BR-004,PRD-001,2024-10-09,Mass Retail,SC
CUST-000189,Devika Rajan,BR-010,PRD-001,2024-05-09,Affluent,FL
CUST-000190,Ryan Smith,BR-006,PRD-006,2025-01-29,Mass Retail,SC
CUST-000191,Roger Robinson,BR-005,PRD-002,2025-12-30,Mass Affluent,SC
CUST-000192,Maya Lewis,BR-008,PRD-003,2025-08-25,Small Business,GA
CUST-000193,Jade Stevens,BR-008,PRD-002,2026-08-11,Mass Retail,GA
CUST-000194,Cameron Powell,BR-002,PRD-005,2025-11-11,Emerging,NC
CUST-000195,Nidhi Vohra,BR-012,PRD-006,2025-03-27,Mass Retail,FL
CUST-000196,Lea Roy,BR-004,PRD-003,2026-09-22,Small Business,SC
CUST-000197,Sierra Lopez,BR-010,PRD-002,2025-10-24,Mass Affluent,FL
CUST-000198,Samantha Johnston,BR-009,PRD-004,2025-01-02,Mass Retail,GA
CUST-000199,Ann Shaw,BR-011,PRD-004,2025-07-18,Mass Retail,FL
CUST-000200,Skylar Hughes,BR-009,PRD-002,2026-06-29,Mass Affluent,GA
CUST-000201,Heather MacLeod,BR-005,PRD-002,2024-12-09,Mass Affluent,SC
CUST-000202,Silas Freeman,BR-004,PRD-001,2024-05-06,Affluent,SC
CUST-000203,Grace Gordon,BR-002,PRD-004,2025-10-20,Mass Retail,NC
CUST-000204,Charlotte Palmer,BR-011,PRD-001,2024-11-23,Affluent,FL
CUST-000205,Christian Hunt,BR-012,PRD-001,2026-05-14,Affluent,FL
CUST-000206,Tanya Duncan,BR-003,PRD-001,2024-05-09,Mass Retail,NC
CUST-000207,Gabriella Hall,BR-004,PRD-004,2024-10-11,Growth,SC
CUST-000208,Adam Price,BR-009,PRD-003,2024-07-22,Small Business,GA
CUST-000209,Caroline Hawkins,BR-007,PRD-006,2025-12-05,Mass Retail,GA
CUST-000210,Jasmine Rivera,BR-009,PRD-004,2024-09-13,Mass Retail,GA
CUST-000211,Aria Porter,BR-009,PRD-002,2026-09-07,Mass Affluent,GA
CUST-000212,Amelia Poirier,BR-007,PRD-002,2024-01-24,Mass Affluent,GA
CUST-000213,Amanda Richardson,BR-012,PRD-002,2025-09-04,Mass Affluent,FL
CUST-000214,Brittany Davis,BR-011,PRD-002,2026-05-07,Mass Affluent,FL
CUST-000215,Hazel Morris,BR-009,PRD-004,2025-05-06,Mass Retail,GA
CUST-000216,Hailey Fisher,BR-010,PRD-006,2024-09-02,Mass Affluent,FL
CUST-000217,Benjamin White,BR-004,PRD-006,2026-04-26,Mass Retail,SC
CUST-000218,Scarlett James,BR-012,PRD-004,2026-02-06,Mass Retail,FL
CUST-000219,Cesar Gonzalez,BR-008,PRD-001,2025-04-03,Affluent,GA
CUST-000220,Gautam Hazarika,BR-008,PRD-001,2024-10-17,Affluent,GA
CUST-000221,Aria Pierce,BR-005,PRD-001,2025-02-15,Affluent,SC
CUST-000222,Francisco Stone,BR-004,PRD-001,2026-05-14,Mass Retail,SC
CUST-000223,Kevin Olson,BR-001,PRD-005,2024-12-03,Mass Affluent,NC
CUST-000224,Jack Henry,BR-003,PRD-005,2024-05-18,Emerging,NC
CUST-000225,Justin McDonald,BR-002,PRD-006,2025-01-26,Mass Retail,NC
CUST-000226,Diane Gibson,BR-012,PRD-002,2024-06-03,Mass Affluent,FL
CUST-000227,Adriana Gomez,BR-011,PRD-006,2026-07-25,Emerging,FL
CUST-000228,Marie Nguyen,BR-012,PRD-005,2024-05-18,Mass Retail,FL
CUST-000229,Molly Schmidt,BR-006,PRD-004,2026-06-07,Mass Retail,SC
CUST-000230,Joshua Wright,BR-009,PRD-001,2026-04-15,Mass Retail,GA
CUST-000231,Faith Dunn,BR-007,PRD-003,2025-07-08,Small Business,GA
CUST-000232,Catherine Hansen,BR-004,PRD-004,2025-11-19,Growth,SC
CUST-000233,Noah Brooks,BR-001,PRD-003,2026-09-30,Small Business,NC
CUST-000234,Dhara Sharma,BR-002,PRD-004,2024-04-05,Growth,NC
CUST-000235,Cooper Caron,BR-004,PRD-002,2024-11-15,Mass Affluent,SC
CUST-000236,Ruben Gardner,BR-003,PRD-004,2024-02-21,Mass Retail,NC
CUST-000237,Omar West,BR-004,PRD-005,2026-03-01,Mass Affluent,SC
CUST-000238,Eugene Dunn,BR-012,PRD-002,2025-02-22,Mass Affluent,FL
CUST-000239,Billy Robinson,BR-009,PRD-003,2026-03-15,Small Business,GA
CUST-000240,Luke Hughes,BR-003,PRD-001,2026-06-15,Growth,NC
CUST-000241,Omkar Sethi,BR-011,PRD-001,2024-04-06,Mass Retail,FL
CUST-000242,Aaron Rodriguez,BR-004,PRD-001,2024-03-08,Mass Retail,SC
CUST-000243,Mason Thompson,BR-002,PRD-005,2025-03-14,Emerging,NC
CUST-000244,Jasmine Porter,BR-005,PRD-005,2025-10-16,Emerging,SC
CUST-000245,Gabrielle Morin,BR-001,PRD-005,2024-05-27,Mass Affluent,NC
CUST-000246,Joshua Cole,BR-007,PRD-005,2025-06-25,Emerging,GA
CUST-000247,Aaron Powell,BR-006,PRD-004,2025-01-31,Mass Retail,SC
CUST-000248,Carson Moore,BR-004,PRD-003,2026-01-25,Small Business,SC
CUST-000249,Liam Taylor,BR-007,PRD-002,2026-01-23,Mass Retail,GA
CUST-000250,Sean Harrison,BR-005,PRD-001,2024-08-08,Affluent,SC
CUST-000251,Bennett Perry,BR-012,PRD-001,2024-04-29,Mass Retail,FL
CUST-000252,Elizabeth Green,BR-002,PRD-005,2024-06-25,Mass Retail,NC
CUST-000253,Theodore Hunt,BR-009,PRD-001,2026-09-21,Affluent,GA
CUST-000254,Anthony Fox,BR-003,PRD-002,2025-03-26,Mass Affluent,NC
CUST-000255,Danielle Flores,BR-012,PRD-005,2026-09-06,Mass Retail,FL
CUST-000256,Peyton Cruz,BR-008,PRD-004,2024-08-09,Mass Retail,GA
CUST-000257,Aman Desai,BR-004,PRD-003,2026-01-07,Small Business,SC
CUST-000258,Willie Flores,BR-009,PRD-005,2025-07-07,Mass Retail,GA
CUST-000259,Amy Morgan,BR-006,PRD-001,2024-01-27,Affluent,SC
CUST-000260,Helen Gomez,BR-005,PRD-001,2025-05-03,Mass Retail,SC
CUST-000261,Kenneth Hall,BR-004,PRD-005,2026-01-30,Mass Retail,SC
CUST-000262,Dylan James,BR-002,PRD-001,2025-01-21,Mass Retail,NC
CUST-000263,Damian Mitchell,BR-002,PRD-003,2024-11-12,Small Business,NC
CUST-000264,Brenda Hawkins,BR-008,PRD-001,2025-11-10,Mass Retail,GA
CUST-000265,Maxime Gagnon,BR-001,PRD-006,2024-08-01,Mass Retail,NC
CUST-000266,Margaret Ramos,BR-010,PRD-006,2024-06-21,Mass Retail,FL
CUST-000267,Stephanie Rose,BR-010,PRD-006,2025-04-22,Emerging,FL
CUST-000268,Sophia Turner,BR-005,PRD-003,2024-08-04,Small Business,SC
CUST-000269,Sarah Johnson,BR-006,PRD-004,2024-07-15,Mass Retail,SC
CUST-000270,Peyton Holmes,BR-011,PRD-001,2024-04-09,Mass Retail,FL
CUST-000271,Shivam Desai,BR-007,PRD-001,2024-06-25,Growth,GA
CUST-000272,Kelly Cunningham,BR-003,PRD-002,2024-11-17,Mass Retail,NC
CUST-000273,Wyatt Palmer,BR-007,PRD-001,2024-12-24,Affluent,GA
CUST-000274,Nora Hunter,BR-006,PRD-006,2024-07-25,Mass Affluent,SC
CUST-000275,Atharva Mishra,BR-009,PRD-001,2024-04-10,Mass Retail,GA
CUST-000276,Tyler Clark,BR-006,PRD-001,2025-09-14,Growth,SC
CUST-000277,Logan Payne,BR-012,PRD-005,2026-01-27,Mass Retail,FL
CUST-000278,Addison Li,BR-002,PRD-001,2026-09-27,Mass Retail,NC
CUST-000279,Abigail White,BR-001,PRD-006,2024-11-21,Mass Retail,NC
CUST-000280,Payal Arora,BR-011,PRD-001,2026-03-20,Growth,FL
CUST-000281,Colin Olson,BR-004,PRD-003,2025-05-15,Small Business,SC
CUST-000282,Paisley Wright,BR-004,PRD-002,2026-09-01,Mass Affluent,SC
CUST-000283,Maxime Wilson,BR-010,PRD-001,2025-08-10,Mass Retail,FL
CUST-000284,Harry Ryan,BR-003,PRD-001,2024-07-12,Growth,NC
CUST-000285,Brooklyn White,BR-001,PRD-002,2025-08-14,Mass Affluent,NC
CUST-000286,Bennett Evans,BR-006,PRD-004,2025-03-09,Growth,SC
CUST-000287,Jesse Lopez,BR-010,PRD-002,2026-07-25,Mass Retail,FL
CUST-000288,Caroline Webb,BR-004,PRD-003,2025-03-28,Small Business,SC
CUST-000289,Paisley Jones,BR-005,PRD-004,2025-04-08,Mass Retail,SC
CUST-000290,Christopher Harvey,BR-005,PRD-002,2024-11-17,Mass Retail,SC
CUST-000291,Samuel Morris,BR-007,PRD-001,2024-04-05,Affluent,GA
CUST-000292,Leo Leblanc,BR-012,PRD-001,2025-01-25,Mass Retail,FL
CUST-000293,Simone Dufour,BR-010,PRD-001,2026-01-28,Growth,FL
CUST-000294,Manuel Hansen,BR-012,PRD-003,2026-07-20,Small Business,FL
CUST-000295,Riley Alexander,BR-002,PRD-001,2025-11-02,Growth,NC
CUST-000296,Alexander James,BR-011,PRD-006,2025-01-29,Mass Retail,FL
CUST-000297,Gautam Chopra,BR-012,PRD-001,2024-01-05,Affluent,FL
CUST-000298,Jessica Spencer,BR-011,PRD-001,2025-07-18,Affluent,FL
CUST-000299,Jason Henderson,BR-002,PRD-003,2026-05-05,Small Business,NC
CUST-000300,Nathan Thomas,BR-003,PRD-001,2025-04-12,Affluent,NC
CUST-000301,Charles Mercier,BR-012,PRD-005,2024-11-28,Mass Retail,FL
CUST-000302,Rhea Mukherjee,BR-011,PRD-001,2025-07-21,Mass Retail,FL
CUST-000303,Raymond Stephens,BR-006,PRD-003,2026-02-17,Small Business,SC
CUST-000304,Steven Martinez,BR-003,PRD-006,2025-06-22,Mass Affluent,NC
CUST-000305,Ezra Ross,BR-010,PRD-001,2026-05-09,Affluent,FL
CUST-000306,Amy Cooper,BR-012,PRD-002,2026-05-31,Mass Retail,FL
CUST-000307,Theresa Rivera,BR-005,PRD-003,2026-03-25,Small Business,SC
CUST-000308,Martin Price,BR-003,PRD-006,2025-07-20,Mass Retail,NC
CUST-000309,Riley Lee,BR-011,PRD-002,2025-03-02,Mass Affluent,FL
CUST-000310,Christian Stone,BR-002,PRD-005,2024-04-28,Mass Affluent,NC
CUST-000311,Emma Price,BR-001,PRD-002,2024-10-12,Mass Affluent,NC
CUST-000312,Roberto Castro,BR-001,PRD-003,2024-01-25,Small Business,NC
CUST-000313,Jason Evans,BR-007,PRD-004,2025-04-10,Mass Retail,GA
CUST-000314,Timothy Henry,BR-008,PRD-002,2025-11-02,Mass Affluent,GA
CUST-000315,Virginia Bennett,BR-002,PRD-002,2024-02-10,Mass Affluent,NC
CUST-000316,Prerna Kulkarni,BR-012,PRD-001,2024-08-03,Mass Retail,FL
CUST-000317,Keerthi Ramesh,BR-006,PRD-001,2024-12-11,Growth,SC
CUST-000318,Natasha Arnold,BR-003,PRD-005,2025-02-10,Mass Affluent,NC
CUST-000319,Ipsita More,BR-003,PRD-004,2024-03-22,Growth,NC
CUST-000320,Howard Lewis,BR-011,PRD-002,2025-09-28,Mass Affluent,FL
CUST-000321,Mitchell Cole,BR-005,PRD-003,2024-02-06,Small Business,SC
CUST-000322,Gregory Rivera,BR-005,PRD-006,2026-09-24,Emerging,SC
CUST-000323,Maxime Young,BR-003,PRD-002,2025-12-09,Mass Affluent,NC
CUST-000324,Gerald Butler,BR-005,PRD-006,2024-02-15,Mass Affluent,SC
CUST-000325,Diane Hill,BR-011,PRD-001,2024-04-27,Growth,FL
CUST-000326,Jenna Evans,BR-012,PRD-003,2024-06-05,Small Business,FL
